Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.71999979019165
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9649341
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,82663
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6063.7178320377
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.266
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.96000003814697
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,374206
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,27583.4087373028
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.088
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12
Bahrain,BHR,"Population, total",SP.POP.TOTL,1371851
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,778
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,22353.3596020299
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.762
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.32000005245209
Bangladesh,BGD,"Population, total",SP.POP.TOTL,156256276
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1002.38886567839
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.514
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.38000011444092
Barbados,BRB,"Population, total",SP.POP.TOTL,285324
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,15836.3824984929
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.801
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.3500003814697
Belarus,BLR,"Population, total",SP.POP.TOTL,9489616
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202978
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6384.81714492541
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.6243902439025
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.90999984741211
Belize,BLZ,"Population, total",SP.POP.TOTL,360933
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4300.55933820061
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.034
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.57999992370605
Benin,BEN,"Population, total",SP.POP.TOTL,10575952
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1128.99638029977
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.608
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.5699999332428
Bermuda,BMU,"Population, total",SP.POP.TOTL,65237
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,89708.8258715522
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.0121951219512
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,727876
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,38117
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2780.81953888315
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.419
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.45000004768372
Bolivia,BOL,"Population, total",SP.POP.TOTL,10869730
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,1083300
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2361.05653658841
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.277
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.0699999332428
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3429361
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,51200
Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5352.72045522849
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.865
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,27.6900005340576
Botswana,BWA,"Population, total",SP.POP.TOTL,2120716
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,566730
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7613.69852027346
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.338
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.7099990844727
Brazil,BRA,"Population, total",SP.POP.TOTL,204471769
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,8358140
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,11431.1544808449
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.994
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.43000030517578
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29152
British Virgin Islands,VGB,Land area (sq. km),AG.LND.TOTL.K2,150
British Virgin Islands,VGB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
British Virgin Islands,VGB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,414907
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,5270
Brunei Darussalam,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,32873.4669130359
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.318
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.69000005722046
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7177991
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,108560
Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7663.72202887539
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.6146341463415
Bulgaria,BGR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.14000034332275
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,18110624
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,273600
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,726.712509173464
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.919
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.03999996185303
Burundi,BDI,"Population, total",SP.POP.TOTL,10160030
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,25680
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,228.432544171606
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.123
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.54999995231628
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,524743
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,4030
Cabo Verde,CPV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3414.55798421071
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.117
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.8999996185303
Cambodia,KHM,"Population, total",SP.POP.TOTL,15521436
Cambodia,KHM,Land area (sq. km),AG.LND.TOTL.K2,176520
Cambodia,KHM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1024.62136452219
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.637
Cambodia,KHM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.389999985694885
Cameroon,CMR,"Population, total",SP.POP.TOTL,23298368
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,472710
Cameroon,CMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1441.78397139843
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.583
Cameroon,CMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.50999999046326
Canada,CAN,"Population, total",SP.POP.TOTL,35702908
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,8965590
Canada,CAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,50262.027665796
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.9
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.90999984741211
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,61724
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,240
Cayman Islands,CYM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,73741.6532661395
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4493170
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,622980
Central African Republic,CAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,346.693797341047
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.881
Central African Republic,CAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.30000019073486
Chad,TCD,"Population, total",SP.POP.TOTL,14110975
Chad,TCD,Land area (sq. km),AG.LND.TOTL.K2,1259200
Chad,TCD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,956.659691840205
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.137
Chad,TCD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.87000000476837
Channel Islands,CHI,"Population, total",SP.POP.TOTL,165385
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,198
Channel Islands,CHI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.429
Channel Islands,CHI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.61999988555908
Chile,CHL,"Population, total",SP.POP.TOTL,17969353
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,743532
Chile,CHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,14722.366327631
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.646
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.51000022888184
China,CHN,"Population, total",SP.POP.TOTL,1371220000
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,9424701.4
China,CHN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6500.41832267289
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.928
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.59999990463257
Colombia,COL,"Population, total",SP.POP.TOTL,47520667
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,1109500
Colombia,COL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7580.27571259431
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.531
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.30000019073486
Comoros,COM,"Population, total",SP.POP.TOTL,777424
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,1861
Comoros,COM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1353.6634014541
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.471
Comoros,COM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.09000015258789
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,76244544
"Congo, Dem. Rep.",COD,Land area (sq. km),AG.LND.TOTL.K2,2267050
"Congo, Dem. Rep.",COD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,411.020573086613
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.254
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.40000009536743
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4856095
"Congo, Rep.",COG,Land area (sq. km),AG.LND.TOTL.K2,341500
"Congo, Rep.",COG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3097.27612486185
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.097
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.89999961853027
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4847804
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,51060
Costa Rica,CRI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9219.38970070256
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.565
Costa Rica,CRI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,23226143
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,318000
Cote d'Ivoire,CIV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1463.71052702022
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.065
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.09999990463257
Croatia,HRV,"Population, total",SP.POP.TOTL,4203604
Croatia,HRV,Land area (sq. km),AG.LND.TOTL.K2,56590
Croatia,HRV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,14111.2512495402
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.2756097560976
Croatia,HRV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.1800003051758
Cuba,CUB,"Population, total",SP.POP.TOTL,11324781
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,104100
Cuba,CUB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6522.73679904185
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.561
Cuba,CUB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.40000009536743
Curacao,CUW,"Population, total",SP.POP.TOTL,157980
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,444
Curacao,CUW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.0756097560976
Curacao,CUW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,1160985
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,9240
Cyprus,CYP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,27897.9581709968
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.35
Cyprus,CYP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.9099998474121
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10546059
Czech Republic,CZE,Land area (sq. km),AG.LND.TOTL.K2,77210
Czech Republic,CZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,21560.8262336715
Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.5780487804878
Czech Republic,CZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.05000019073486
Denmark,DNK,"Population, total",SP.POP.TOTL,5683483
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,40000
Denmark,DNK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,60402.1296439052
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.7024390243902
Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.28000020980835
Djibouti,DJI,"Population, total",SP.POP.TOTL,913993
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,23180
Djibouti,DJI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.136
Djibouti,DJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.3900003433228
Dominica,DMA,"Population, total",SP.POP.TOTL,71183
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,750
Dominica,DMA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6891.12022186837
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Dominica,DMA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10281680
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,48310
Dominican Republic,DOM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6661.86504263226
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.241
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.6100001335144
Ecuador,ECU,"Population, total",SP.POP.TOTL,16212020
Ecuador,ECU,Land area (sq. km),AG.LND.TOTL.K2,248360
Ecuador,ECU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5330.53915447542
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.143
Ecuador,ECU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.61999988555908
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,92442547
"Egypt, Arab Rep.",EGY,Land area (sq. km),AG.LND.TOTL.K2,995450
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2704.91976565548
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.302
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.0500001907349
El Salvador,SLV,"Population, total",SP.POP.TOTL,6325124
El Salvador,SLV,Land area (sq. km),AG.LND.TOTL.K2,20720
El Salvador,SLV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3314.70065426869
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.412
El Salvador,SLV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1168568
Equatorial Guinea,GNQ,Land area (sq. km),AG.LND.TOTL.K2,28050
Equatorial Guinea,GNQ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,14093.8124933866
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.359
Equatorial Guinea,GNQ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.3100004196167
Eritrea,ERI,"Population, total",SP.POP.TOTL,..
Eritrea,ERI,Land area (sq. km),AG.LND.TOTL.K2,101000
Eritrea,ERI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.664
Eritrea,ERI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.65999984741211
Estonia,EST,"Population, total",SP.POP.TOTL,1315407
Estonia,EST,Land area (sq. km),AG.LND.TOTL.K2,43470
Estonia,EST,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,17633.5917413671
